Date,Open,High,Low,Close,Volume,Quote Asset Volume
2024-06-10,69667.10,70222.70,69201.20,69558.70,127381.604,8872795631.33450
2024-06-11,69558.80,69600.00,66000.00,67320.70,311984.942,21038478955.28170
2024-06-12,67320.60,70028.00,66920.00,68270.30,329918.460,22649278512.31000
2024-06-13,68270.30,68607.70,66251.10,66786.90,248355.461,16734408853.54570
2024-06-14,66786.80,67366.50,65052.40,66039.70,239411.231,15866317033.62730
2024-06-15,66039.70,66482.60,65801.00,66213.70,72423.755,4794362622.71790
2024-06-16,66213.70,66960.30,66012.10,66653.60,80361.551,5344491611.46030
2024-06-17,66653.50,67280.60,65094.90,66472.10,248420.787,16425433493.30370
2024-06-18,66472.10,66558.90,64009.80,65150.00,335559.394,21816313661.79880
2024-06-19,65149.90,65711.90,64600.00,64933.60,150032.669,9773747644.96730
2024-06-20,64933.60,66467.00,64526.00,64854.00,220954.676,14443082252.52600
2024-06-21,64854.00,65055.50,63361.20,64124.00,210109.601,13452781556.58920
2024-06-22,64124.10,64520.00,63915.80,64240.00,53855.862,3462300794.00670
2024-06-23,64240.10,64500.00,63137.90,63194.90,72052.293,4609994525.56940
2024-06-24,63194.90,63357.00,58218.00,60273.60,445903.184,27225661676.17080
2024-06-25,60273.50,62448.10,60230.50,61777.80,264647.317,16245823572.75500
2024-06-26,61777.90,62465.10,60696.00,60860.10,170601.180,10474223643.73330
2024-06-27,60860.10,62379.70,60605.00,61682.00,160172.482,9845346127.87420
2024-06-28,61682.10,62204.00,60038.00,60429.80,195508.125,11963155606.57770
2024-06-29,60429.80,61232.00,60400.10,60982.40,79680.289,4854467389.02330
2024-06-30,60982.50,63058.40,60705.00,62766.00,147777.915,9131797044.07350
2024-07-01,62766.10,63849.00,62502.20,62883.60,193937.938,12249759638.55010
2024-07-02,62883.70,63284.00,61800.00,62123.60,163101.243,10187608652.30550
2024-07-03,62123.50,62278.20,59299.30,60208.00,295303.265,17865344372.01360
2024-07-04,60208.00,60500.00,56560.00,57045.90,445656.277,25874210041.42714
2024-07-05,57045.90,57533.40,53329.50,56604.90,577193.595,32076653813.40088
2024-07-06,56604.90,58472.00,56000.00,58216.00,178580.022,10197761341.39678
2024-07-07,58216.00,58443.00,55688.00,55830.90,210361.981,12037823231.09660
2024-07-08,55831.00,58200.00,54243.10,56686.40,464106.957,26076935449.40952
2024-07-09,56686.40,58290.60,56256.20,58023.20,257237.048,14760474094.36112
2024-07-10,58023.10,59449.60,57125.00,57707.00,254248.937,14799666738.94340
2024-07-11,57707.00,59780.00,57030.00,57315.50,293106.959,17033276319.74740
2024-07-12,57315.70,58500.00,56500.10,57870.00,238100.616,13680239863.68945
2024-07-13,57870.00,59850.00,57728.60,59174.00,157884.322,9257369124.83100
2024-07-14,59173.90,61412.40,59164.00,60766.00,208060.883,12501022268.21220
2024-07-15,60766.00,64870.70,60622.60,64680.60,352222.181,22163838850.23140
2024-07-16,64680.60,65388.00,62350.00,65010.00,375258.616,24015350736.24960
2024-07-17,65010.00,66100.00,63823.00,64055.70,276656.393,17971882430.53800
2024-07-18,64055.80,65173.80,63206.40,63959.90,215648.157,13840486905.31860
2024-07-19,63960.00,67362.80,63266.20,66627.90,311859.805,20380653025.92150
2024-07-20,66627.90,67648.70,66159.10,67095.60,123564.406,8257377670.65340
2024-07-21,67095.60,68351.20,65750.00,68138.00,207228.372,13911463550.00150
2024-07-22,68138.00,68459.70,66538.60,67499.20,192991.391,13023877366.27140
2024-07-23,67499.20,67729.30,65416.50,65916.40,270430.680,17980471984.67930
2024-07-24,65916.30,67087.30,65040.50,65350.80,215079.421,14220076011.17290
2024-07-25,65350.70,66144.00,63456.70,65773.00,319685.441,20623007320.19340
2024-07-26,65773.00,68200.00,65688.20,67882.50,235384.526,15831346144.96490
2024-07-27,67882.50,69381.70,66624.50,67873.80,330982.647,22565690615.42860
2024-07-28,67873.70,68300.00,67037.00,68215.50,116913.935,7921123857.98300
2024-07-29,68215.50,70081.00,66365.80,66750.00,372537.818,25468669202.30540
2024-07-30,66750.10,66966.60,65254.50,66159.30,246551.044,16326143659.43290
2024-07-31,66159.30,66826.30,64500.40,64601.80,246389.446,16232585005.41600
2024-08-01,64601.80,65650.00,62271.20,65328.90,372654.590,23809052629.47340
2024-08-02,65329.00,65577.00,61200.20,61483.70,421628.420,26819683037.26120
2024-08-03,61483.70,62166.00,59800.00,60684.60,290469.956,17722256113.68170
2024-08-04,60684.50,61089.50,57040.00,58144.50,339512.415,20115489532.05642
2024-08-05,58144.50,58286.90,48888.00,54003.10,1281982.025,67990070656.18278
2024-08-06,54003.50,56999.90,53925.30,55991.20,435953.439,24315240364.00699
